Cota|Titlul|Autori| ISBN|Editura|Locul aparitiei|An aparitie|Observatii
G23|Probleme pentru aplicarea matematicii in practica|Mihu Cerchez,Danet Theodor||Editura Didactica si Pedagogica R.A|Bucuresti|1982|271 pag., lb. romana
G24|Culegere de probleme de algebra si analiza matematica|Leonte Alexandru V.,Niculescu Constantin P.||Editura Scrisul Romanesc|Craiova|1981|355 pag., lb.	romana
G25|Introducere algebrica in informatica. Teoria automatelor|Creanga I.,Reischer C.,Simovici D.||Junimea|Iasi|1973|300 pag., lb.	romana
G26|Limbaje formale si tehnici de compilare. Aplicatii ale algebrelor multisortate in informatica|Vaida Dragos,Mateescu Alexandru||Universitatea Bucuresti, Facultatea de Matematica|Bucuresti|1982|99	pag., lb. romana
G27|Introducere algebrica in informatica. Limbaje formale. Vol.II|Creanga I.,Reischer C.,Simovici D.||Junimea|Iasi|1974|195 pag., lb. romana
G28|Programarea matematica cu aplicatii in energetica|Penescu C.,Ionescu Vl.,Rosinger L.||Editura Academiei Republicii Socialiste Romania|Bucuresti|1967|268 pag., lb. romana
G29|Rezolvarea ecuatiilor prin interpolare|Pavaloiu Ion||Editura Dacia|Cluj-Napoca|1981|188 pag., lb. romana
G30|Ecuatii diferentiale|Halanay Aristide||Editura Didactica si Pedagogica R.A|Bucuresti|1972|255 pag., lb. romana
G31|Metode numerice|Bucur C. M.||Editura Facla|Timisoara|1973|238 pag., lb. romana
G32|Programare neliniara. Algoritmi, programe, rezultate numerice|Dumitru Vincentiu||Editura Academiei Republicii Socialiste Romania|Bucuresti|1975|207 pag., lb. romana
G33|PARADOX.Ghid de utilizare…si nu doar atat|Petrovici Vasile|973-31-0404-3|Editura Tehnica|Bucuresti|1992|104 pag., lb. romana
G34|LISP|Giumale Cr.,Preotescu D.,Serbanati L.D.,Tufis D.,Tecuci Gh.,Cristea D.||Editura Tehnica|Bucuresti|1987|272 pag., lb. romana
G35|Privelisti matematice|Schoenberg Isaac J.|973-31-0059-5|Editura Tehnica|Bucuresti|1989|199 pag., lb. romana
G36|Lucrari practice de automatizarea proceselor chimice|Agachi Serban,Cristea Mircea||Universitatea Babes-Bolyai Cluj-Napoca, Facultatea de Chimie si Inginerie Chimica|Cluj-Napoca|1996|95 pag., lb. romana
G37|Totul despre dBASE. Vol. I|Campeanu Cristina,Cenan Calin,Constantinescu Aurel,Constantinescu Carmen|||Cluj-Napoca|1990|222 pag., lb.romana
G38|Scheme logice si programe Fortran.Culegere de probleme|Moldovan Grigor||Editura Didactica si Pedagogica R.A|Bucuresti|1978|188 pag., lb.romana
G39|Initiere in Fortran|Niculescu Stelian||Editura Tehnica|Bucuresti|1972|280	pag., lb. romana
G40|Fortran. Initiere in programarea structurata|Niculescu Stelian||Editura Tehnica|Bucuresti|1979|277 pag., lb. romana
G41|Programarea in limbajul Fortran|Cazacu C.,Jucan T.||Editura Junimea|Iasi|1977|213 pag., lb. romana
G42|Programe liniare cu mai multi indici|Mihu Cerchez||Editura Academiei Republicii Socialiste Romania|Bucuresti|1974|169 pag., lb. romana
G43|Lectii despre logica rationamentului nuantat|Moisil	Grigore C.||Editura Stiintifica  si Enciclopedica|Bucuresti|1975|174 pag., lb. romana
G44|Procese stochastice si aplicatii in biologie si medicina|Iosifescu Marius,Tautu Petre||Editura Academiei Republicii Socialiste Romania|Bucuresti|1968|345 pag., lb. romana
G45|Introducere in teoria ecuatiilor operatoriale|Coman Gheorghe,Pavel Garofita,Rus Ileana,Rus Ioana A.||Editura Dacia|Cluj-Napoca|1976|178 pag., lb. romana
G46|Teoria erorilor de masurare si metoda celor mai mici patrate|Tiron M.||Editura Tehnica|Bucuresti|1973|397 pag., lb.romana
G47|Introducere in topologie|Chinn W.G.,Steenrod M.E.||Editura Tehnica|Bucuresti|1966|157 pag., lb. romana

cota | Titlul | Lista autorilor | ISBN | Editura | Locul aparitiei | Anul aparitiei | Observatii
|||||||
|||||||
D1 | Computational mathematics | N.I Danilina, N.S Drubrovskaya, O.P Kvasha G.L Smirnov | ISBN 5-03-000275-8 | Mir Publishing Moskow | Moskow | 1988 | Carte
D2 | The world is build on Probability | Lev Tarasov | ISBN 5-03-001124-2 | Mir Publishing Moskow | Moskow | 1988 | Carte 
D3 | Introduction to the Theory of Games | J.Szep, F.Forgo | ISBN 90-277-1404-5 | D.Reidel Publishing Company Hungary| Budapest | 1985 | Carte 
D4 | Modula-3 | Samuel P.Harbison |ISBN 0-13-596404-0 | Prentice Hall | New Jerssey | 1992 | Carte
D5 | Introduction to Approximation Theory | E.W. Cheney | ISBN 0-8284-0317-1 |Chelsea Publishing Company | New York | 1982 | Carte
D6 | Analysis of numerical methods | Eugene Isaacson, Herbert Bishop Keller |ISBN 0-471-42865-5 | John Wiley & Sons | New York | 1966 | Carte
D7 | Managing UUCP and Usenet | Tim O'Reilly ,Grace Todino | ISBN 0-937175-93-5 | O'Reilly & Associates ,Inc | Sebastopol CA | 1992 | Carte
D8 | Using SAMBA | Robert Eckstein, David Collier-Brown, Peter Kelly | ISBN 1-565492-449-5 | O'Reilly & Associates , Inc | Sebastopol CA | 2000 | Carte
D9 | Pthreads programming | Bradford Nichols, Dick Buttlar, Jaqueline Proulx Farrel | ISBN 1-56592-115-1 | O'Reilly & Associates , Inc | Sebastopol CA | 1996 | Carte
D10| Client/Server Programming with Java and CORBA | Robert Orfali, Dan Harley | ISBN 0-471-24578-x | Wiley Computer Publishing | USA | 1998 | Carte
D11| Practical UNIX and Internet Security | Simpson Garfinkel ,Gene Spafford | ISBN 1-56592-148-8 | O'Reilly & Associates,Inc | Sebastopol CA | 1996| Carte
D12| Java threads | Scott Oaks, Henry Wong | ISBN 1-56592-216-6 | O'Reilly & Associates,Inc | Sebastopol CA | 1997 | Carte
D13| Java Network Programming | Elliotte Rusty Harold | ISBN 1-56592-227-1 | O'Reilly & Associates,Inc | Sebastopol CA | 1997 | Carte
D14| The Java Tutorial.Object-Oriented Programming for the Internet | Mary Campione, Katly Walrath | ISBN 0-201-63454-6 | Addison -Wesley Longman Inc | Massachusetts | 1996 | Carte 
D15| X Toolkit Intrisics Programming Manual | Adrian Nye, Tim O'Reilly | ISBN 0-937175-56-0 | O'Reilly & Associates,Inc |  Sebastopol CA | 1990 | Carte
D16| X Toolkit for Intrisics Reference Manual | David Flanagan | ISBN 1-56592-007-4 | O'Reilly & Associates,Inc |  Sebastopol CA | 1990 | Carte
D17| Microsoft System Management Server 2003 | Steven D.Kaczmarek || Microsoft Press || |
D18| Microsoft Exchange Server 2003 :Administrator's Companion | Walter J Glenn , Bil English | ISBN 0-7356-1979-4 |Microsoft Press | Redmonton Washinghton || Carte
D19| Advanced Educational Technology Proceedings III | ISBN 973-8084-60-1 | * | Targu-Mures || Carte |
D20| KEPT 2007 Knowledge engineering: Principle and techniques | * | ISBN 978-973-610-556-2 |Presa Universitara Clujeana | Cluj-Napoca | 2007 | Carte
D21| Proceedings of the Symposium Zilele Academice Clujene | Militon Frentiu | * | * |||
D22| Advanced Educational Technologies.Proceedings II Act Workshop | C.Enachescu, D Radoiu | ISBN 973-8084-33-4 | Ed.Universitatii " Petru Maior " | Tg-Mures | 2001 | Carte 
D23| Calculatoare paralele.Arhitectura,programare,algoritmi. | R.W Hockney, C.R Jesshope | ISBN 973-31-0330-6 | Ed.Tehnica | Bucuresti| 1991 | Carte 
D24| Tratat de programarea Calculatoarelor.Algoritmi fundamentali | Knuth D.E || Ed.Tehnica | Bucuresti | 1974 | Carte
D25| Tratat de programarea Calculatoarelor.Algoritmi fundamentali | Knuth D.E || Ed.Tehnica | Bucuresti | 1974 | Carte
D26| Tratat de programarea Calculatoarelor.Algoritmi fundamentali | Knuth D.E || Ed.Tehnica | Bucuresti | 1974 | Carte
D27|||||cd suse||
D28|||||cd carti in format electronic||
D29|||||cd carti in format electronic||
D30|||||cd carti in format electronic||
D31|||||cd carti in format electronic||
D32|||||cd carti in format electronic ||
D33|||||cd carti in format electronic||
D34|||||cd carti in format electronic||
D35|||||cd carti in format electronic||
D36|||||cd carti in format electronic||
D37|||||cd Open Solaris||
D38|||||cd Open Solaris||
D39|||||cd Open Solaris||
D40|||||cd Open Solaris||
D41|||||cd Open Solaris||
D42|||||cd Open Unix||
D43|||||cd Open Unix||
D44|||||cd Open Unix||
D45|||||cd Open Unix||
D46|||||cd Open Unix||
D47|||||cd Open Unix||
D48|||||cd Open Unix||
D49|||||cd Open Unix||
D50|||||cd Open Unix||
D51|||||cd Open Unix||
D52|||||cd Manuale format electronic||
D53|||||cd Manuale format electronic||
D54|||||cd Manuale format electronic||
D55|||||cd Manuale format electronic||
D56|||||cd Manuale format electronic||
D57|||||cd Manuale format electronic||
D58|||||cd Manuale format electronic||
D59|||||cd Manuale format electronic||
D60|||||cd Manuale format electronic||
D61|||||cd Manuale format electronic||
|||||||
|||||||
|||||||

E1 | Teza de doctorat Masina cu stari abstracte. Aplicatii | Ioana Gabriela Marcut ||| Sibiu | 2008 | Teza de doctorat
 E2 | Teza de doctorat Masina cu stari abstracte-Mecanism de abordare a modelari. Sisteme GIS-Masurarea teritoriului si alcatuirea liniilor poligonale | Ovidiu Nistor||| Sibiu | 2008 | Teza de doctorat
 E3 | Lucrare metodica-stiintifica pentru obtinerea gradului didactic I. Grafica pe calculatoare si in retele | Ion Gelu Tomsa ||| Dej | 2005 | Teza de doctorat
 E4 | These Observer un Environnement Numerique de Travail pour reguler les activites qui s'y deroulent | Gligor-Calin Loghin |||Cluj-Napoca|2008|Teza de doctorat
 E5 | Program postuniversitar de conversie profesionala pentru cadrele didactice din mediul rural- Internet. Sisteme multimedia | Liliana Dobrica|10 973-0-04554-2|Ministerul Educatiei si Cercetarii|Bucuresti|2006|Carte - Specializarea Tehnologia informatiei, Forma de invatamant IS-sem III
 E6 | Program postuniversitar de conversie profesionala pentru cadrele didactice din mediul rural- Didactica tehnologiei informatiei si comunicarii | Daniela Vladoiu | 973-0-04247-0| Ministerul Educatiei si Cercetarii | Bucuresti | 2005 | Carte - Specializarea Tehnologia informatiei, Forma de invatamant IS-sem II
 E7 | Program postuniversitar de conversie profesionala pentru cadrele didactice din mediul rural-Mijloace de educatie asistata de calculator|Daniela Vladoiu|973-0-04297-7|Ministerul Educatiei si Cercetarii | Bucuresti | 2005 | Carte - Specializarea Tehnologia informatiei, Forma de invatamant IS-sem II
 E8 | Program postuniversitar de conversie profesionala pentru cadrele didactice din mediul rural-Baze de date si utilizarea acestora| Adriana Olteanu, Magdalena Anghel, Radu Nicolae Pietraru | 973-0-04080-X |Ministerul Educatiei si Cercetarii| Bucuresti |2005 | Carte - Specializarea Tehnologia informatiei, Forma de invatamant IS-sem I
 E9 | Program postuniversitar de conversie profesionala pentru cadrele didactice din mediul rural-Structura sistemelor de comunicatii|Bogdna Carstoiu|973-0-04246-2|Ministerul Educatiei si Cercetarii| Bucuresti |2005 | Carte - Specializarea Tehnologia informatiei, Forma de invatamant IS-sem II
E10| Program postuniversitar de conversie profesionala pentru cadrele didactice din mediul rural-Generarea si manipularea textelor, tabelelor si imaginilor | Adriana Olteanu, Magdalena Anghel, Radu Nicolae Pietraru | 973-0-04100-8|Ministerul Educatiei si Cercetarii| Bucuresti |2005 | Carte - Specializarea Tehnologia informatiei, Forma de invatamant IS-sem I
E11| Program postuniversitar de conversie profesionala pentru cadrele didactice din mediul rural-Structura si functionarea sistemelor de calcul|Traian C.Ionescu, Florentina Mocrienco|973-0-04116-4|Ministerul Educatiei si Cercetarii| Bucuresti |2005 | Carte - Specializarea Tehnologia informatiei, Forma de invatamant IS-sem I
E12| Program postuniversitar de conversie profesionala pentru cadrele didactice din mediul rural-Programarea calculatoarelor |Florentina Mocrienco, Daniela Vladoiu|978-973-0-04555-0|Ministerul Educatiei si Cercetarii|Bucuresti|2007|Carte-Specializarea Tehnologia informatiei, Forma de invatamant IS-sem IV
E13| Ghid de practica pedagogica-Portofoliu de practica pedagogica | Marin Manolescu ||Ministerul Educatiei si Cercetarii|Bucuresti|2006|Carte-Forma de invatamant ID
E14| Program postuniversitar de conversie profesionala pentru cadrele didactice din mediul rural-Programarea calculatoarelor |Florentina Mocrienco, Daniela Vladoiu|978-973-0-04555-0|Ministerul Educatiei si Cercetarii|Bucuresti|2007|Carte-Specializarea Tehnologia informatiei, Forma de invatamant IS-sem IV
E15| Program postuniversitar de conversie profesionala pentru cadrele didactice din mediul rural-Computerul in activitatea educationala dincolo de ora de curs|Sanda Craina|10 973-0-04553-4|Ministerul Educatiei si Cercetarii|Bucuresti|2007|Carte-Specializarea Tehnologia informatiei, Forma de invatamant IS-sem III
E16| Ghid de practica pedagogica-Portofoliu de practica pedagogica | Marin Manolescu ||Ministerul Educatiei si Cercetarii|Bucuresti|2006|Carte-Forma de invatamant ID
E17| Instruire asistata de calculator|Daniela Vladoiu|973-0-04230-6|Ministerul Educatiei si Cercetarii|Bucuresti|2005|Carte-Forma de invatamant ID
E18| Program postuniversitar de conversie profesionala pentru cadrele didactice din mediul rural-Didactica ariilor curriculare matematica si stiinte ale naturii si tehnologii|Mihaela Singer,Cristian Voica|973-0-04086-9|Ministerul Educatiei si Cercetarii|Bucuresti|2005|Carte-Forma de invatamant ID sem I
E19| Internet as a Vehicle for Teaching||973-99287-4-9|Teacher's House Cluj Publisher|Cluj-Napoca|1999|carte-International Conference and Summer School
E20| Internet as a Vehicle for Teaching|||Open Print S.A.|Covasna|1997|Carte-International Workshop
E21| Internet as a Vehicle for Teaching||973-97403-4-0|Publishing House COMPREX|Cluj-Napoca|1998|Carte-International Workshop
E22| Bazele matematice ale calculatoarelor|Doina Tatar|||Cluj-Napoca|1993|Carte
E23| Culegere de probleme pentru lucrarile de laborator|Sever Groze, Militon Frentiu, Judit Robu, Simona Motogna, Zoltan Kasa, Cristian Lenart, Eugenia Iacob, Vasile Cioban,Simona Iurian, Horia Pop, Vasile Prejmerean, Bazil Parv, Teodor Toadere|||Cluj-Napoca|1992|Carte
E24| ROSE'94 Proceedings||||Bucuresti|1994|Carte-Promotional Papers-The 2nd Romanian Conference on Open Systems.
E25| Tehnologii informatice pentru anii 2000|Radu Bercaru, Dorin Mircea Popovici, Crenguta Bogdan, Luca Dan Serbanati, Ana Maria Borozan, Brandusa Trusca|973-8082-10-2|Leda&Muntenia|Constanta|2000|Carte-Conferinta de Informatica Teoretica si Tehnologii Informatice
E26| Proceedings of EUNIS '98||80-213-420-0|Ivan Vrana-Czech University of Agriculture Prague|Prague|1998|Carte
E27| Retele de calculatoare|Florian Boian, Zoltan Kasa, Darius Bufnea|||Cluj-Napoca|2002|Carte UBB
E28| Programare functionala si logica|Alexandru Vancea|||Cluj-Napoca|2002|Carte UBB
E29| Programare functionala si logica|Alexandru Vancea|||Cluj-Napoca|2002|Carte UBB
E30| Programare functionala si logica|Alexandru Vancea|||Cluj-Napoca|2002|Carte UBB
E31| Programare functionala si logica|Alexandru Vancea|||Cluj-Napoca|2001|Carte UBB
E32| Arhitectura calculatoarelor|Florian Boian|||Cluj-Napoca|2000|Carte UBB
E33| Programare distribuita|Florian Boian, Corina Ferdean, Ioan Lazar|||Cluj-Napoca|2002|Carte UBB
E34| Retele de calculatoare|Florian Boian, Zoltan Kasa|||Cluj-Napoca|1999|Carte UBB
E35| Programare distribuita|Florian Boian, Corina Ferdean, Ioan Lazar|||Cluj-Napoca|2001|Carte UBB
E36| Programare distribuita|Florian Boian, Corina Ferdean, Ioan Lazar|||Cluj-Napoca|2002|Carte UBB
E37| Programare distribuita|Florian Boian, Corina Ferdean, Ioan Lazar|||Cluj-Napoca|2003|Carte UBB
E38| Retele de calculatoare|Florian Boian, Zoltan Kasa, Darius Bufnea|||Cluj-Napoca|2001|Carte UBB
E39| Retele de calculatoare|Florian Boian, Zoltan Kasa, Darius Bufnea|||Cluj-Napoca|2001|Carte UBB
E40| Sisteme de operare|Florian Boian|||Cluj-Napoca|1999|Carte UBB
E41| Bazele matematice ale calculatoarelor|Florian Boian|||Cluj-Napoca|1999|Carte UBB
E42| Programare distribuita|Florian Boian, Corina Ferdean, Ioan Lazar|||Cluj-Napoca|2001|Carte UBB
E43| Programare distribuita|Florian Boian, Corina Ferdean, Ioan Lazar|||Cluj-Napoca|2001|Carte UBB
E44| Arhitectura calculatoarelor|Florian Boian|||Cluj-Napoca|2000|Carte UBB
E45| Bazele matematice ale calculatoarelor|Doina Tatar|||Cluj-Napoca|1993|Carte UBB
E46| Culegere de probleme pentru lucrarile de laborator|Sever Groze, Militon Frentiu, Judit Robu, Simona Motogna, Zoltan Kasa, Cristian Lenart, Eugenia Iacob, Vasile Cioban,Simona Iurian, Horia Pop, Vasile Prejmerean, Bazil Parv, Teodor Toadere|||Cluj-Napoca|1992|Carte
E47| Sisteme de programare pentru minicalculatoare|Florian Boian|||Cluj-Napoca|1998|Carte UBB
E48| Complexitatea algoritmilor|Gheorghe Coman, Diane L.Johnson|||Cluj-Napoca|1987|Carte UBB
E49| Microprocesorul 80286.Arhitectura interna.Set de instructiuni.Aplicatii|||Sarmis|Cluj-Napoca|1990|
E50| Windows Server 2003 Security Guide|Kunt Dillard, Jose Maldonado, Brad Warrender|||USA|2003|
E51| International Journal of Computers, Communications&Control|Ioan Dzitac,Forin Gheorghe Filip, Misu Manolescu|1841-9836|Agora University Editing House|Bucuresti|2008|
E52| Synasc 2005|Daniela Zaharie, Dana Petcu, Viorel Negru, Tudor Jebelean, Gabriel Ciobanu, Alexandru Cicortas, Ajith Abraham, Marcin Paprzycki|0-7695-2453-2|The Printing House|Timisoara|2005|carte
E53| Caim 2003||973-613-330-3|Editura Universitatii|Oradea|2003|Carte
E54| Scop Ware||||Bucuresti|2003|Revista-noiembrie 2003 nr5
E55| Scop Ware||||Bucuresti|2004|Revista-februarie 2004 nr7
E56| catalog Polirom Non fictiune|||Polirom|Bucuresti|2004|revista
E57| Catalog Primavara 2004|||Polirom|Bucuresti|2004|revista
E58| Problema integritatii in bazele de date distribuite|Madalina Moldovan|||Cluj-Napoca|2004|Teza de doctorat
E59| Contributii la dezvoltarea aplicatiilor multimedia distribuite|Cosmin Porumb|||Cluj-Napoca|2005|Teza de doctorat
E60| Contributii la modelarea sistemelor distribuite cu agenti cooperanti|Mihaela Dinsoreanu|||Cluj-Napoca|2004|Teza de doctorat
E61| Connect|||MTR Press|Oradea|2004|Revista ianuarie-februarie 2004-nr 25
E62| Contributii la studiul grafurilor complete cu metrica euclidiana|Alexandru Ionica|||Timisoara|2006| Teza de doctorat
E63| Enforcing Service-Specific Replica Consistency Models and Response Time for Heterogeneous Replicated Services|Corina Ferdean|||Cluj-Napoca|2006|These
E64| Wireless LAN|Bogdan Crainicu|||Cluj-Napoca|2007|
E65| Platforme Java
Metode formale ale sistemelor distribuite|Diana-Elena Cornes||2007|Brasov||Referat
E66| Synasc 2008-Symboloc and Numeric Algorithms for Scientific Computing|||2008|Workshop on global computing|Timisoara|
E67| Abstracts of ICCCC Papers|Ioan Dzitac, Simona Dzitac, Loredana Galea, Horea Oros|1844-4334|Agora University Editing House|Oradea|2008|
E68| Access to success||Agora University Editing House||Revista|Oradea|
E69| Bazele programarii-Proiectarea algoritmilor|Militon Frentiu,Ioan Lazar|||Cluj-Napoca||Carte xeroxata
E70| Data Abstraction and Structures|David D.Rilley|0-87835-238-4|Boyd&Fraser Publishing Company|Boston|1987|Carte xeroxata
E71| Conception et programmation par objects|Bertrand Meyer|2-7296-0272-0|Inter Editions|France|1990|
E72| LabVIEW Basics I Introduction|||||2005|Course Manual
E73| LabVIEW Basics II Development|||||2005|Course Manual
E74| Methodes algorithmiques de verification des protocoles cryptographiques|Liana Lazar||||2004|These
E75| Video Caching: Techniques and Replacement Strategies|Claudiu Cobarzan|||Cluj-Napoca|2004|Research Report
E76| Fifth Joint Conference on Mathematics and Computer Science|Zoltan Csornyei|||Debrecen|2004|Abstracts
E77| Operating System Concepts|Silber Schatz, Galvin Gagne|0-471-41743-2|John Willey&SCNS||2002|Carte xeroxata


